Name,DateOfBirth,Maried,Phone,Salary
William,01.12.2001,True,310-254-3084,400
Andriy,01.11.1996,True,440-579-7763,450
Leonardo,04.05.1998,False,956-841-7216,680
James,10.01.1996,False,504-845-1427,830
Josephine,03.23.1999,True,810-374-9840,570
Art,10.21.2000,True,856-264-4130,1200
Lenna,01.12.2001,False,907-921-2010,3000
Donette,03.20.1995,False,513-549-4561,2500
Simona,07.19.1998,True,419-800-6759,890
Mitsue,04.05.1998,False,773-924-8565,400
Leota,01.11.1996,True,408-813-1105,560
Sage,04.05.1998,True,605-794-4895,800
James,01.15.2001,False,410-804-4694,670
Kris,01.12.2001,True,215-422-8694,425
Minna,01.16.1996,True,631-677-3675,1600
